source_id,target_id
469,856
417,437
735,1012
568,606
259,494
414,139
433,152
976,1074
776,720
812,148
911,127
1126,1018
477,572
986,715
857,564
927,1074
1104,441
732,798
877,435
648,1100
386,1100
218,469
1021,564
243,233
1078,546
407,341
128,926
1069,726
1014,790
838,564
1090,785
1126,213
515,59
695,929
1045,224
1132,903
862,1042
277,123
920,229
161,177
815,701
1065,849
695,1050
834,162
949,637
720,814
355,164
360,242
948,678
67,929
186,126
365,357
120,526
3,944
362,59
680,634
588,1045
563,988
857,940
631,634
235,368
923,513
680,755
685,1099
927,632
130,59
324,827
759,1
62,827
625,940
246,126
564,930
399,368
559,357
1123,399
724,653
420,427
213,1117
368,8
896,127
87,483
185,1018
997,704
553,956
1120,774
834,417
958,1126
1,564
1014,469
530,127
967,128
479,310
547,481
963,130
474,905
964,769
372,894
875,431
731,948
986,420
999,847
61,564
135,513
195,564
625,148
1067,493
404,903
409,1018
624,152
696,28
672,839
259,441
302,1040
1002,485
1081,549
845,272
55,116
775,442
931,726
549,395
736,450
474,221
135,526
671,506
8,162
1127,493
717,329
648,229
892,855
386,229
293,1
1003,1100
930,329
637,979
434,162
1014,737
986,904
526,919
452,933
815,756
1110,152
485,329
151,712
1033,1100
1053,557
442,632
185,481
381,127
644,766
105,229
1120,695
1058,756
139,715
1121,287
1047,109
1133,526
1098,276
1022,695
134,758
190,1067
336,1121
427,485
352,836
775,939
1095,126
939,1047
151,28
1009,59
1062,888
229,887
475,125
912,126
325,595
1100,362
122,680
552,493
290,493
882,139
524,431
124,726
251,767
484,480
966,483
384,1067
883,485
84,775
621,485
502,1022
560,475
152,680
927,942
61,498
715,1022
792,717
195,498
921,1127
281,272
695,784
1130,483
151,162
455,1068
432,855
755,542
407,1027
162,442
1017,956
823,1127
531,955
506,632
817,265
844,368
474,1094
835,319
614,1074
810,491
925,441
923,368
372,265
864,727
318,968
578,104
827,1074
832,923
1014,671
81,466
554,915
956,437
919,784
638,276
128,928
811,167
1089,148
860,325
3,933
826,448
812,513
872,564
1119,441
929,280
1024,59
695,1052
1058,811
1033,229
928,701
271,1111
734,872
169,1063
897,341
714,634
998,164
1084,167
968,221
254,649
502,485
240,714
596,349
501,526
989,280
454,939
266,888
1109,116
563,1111
67,944
1140,634
1131,814
615,483
152,493
725,126
482,368
1002,929
1037,886
957,368
850,242
712,537
772,588
221,714
940,401
620,948
852,59
872,940
1085,1
1059,766
300,485
635,704
678,1074
277,730
967,948
208,896
1047,648
987,368
656,763
1126,712
967,130
271,548
670,782
785,769
804,782
501,1010
50,1074
361,441
251,606
306,276
1137,433
318,781
1001,774
524,849
1069,420
578,1085
218,513
622,1128
756,1128
709,1016
826,369
635,838
850,726
1029,203
1102,718
1047,782
866,441
650,557
606,487
1012,680
84,1085
294,400
60,233
932,162
352,341
1133,152
1014,726
1010,1021
326,325
99,1100
998,1132
214,3
962,162
20,403
669,583
859,680
891,632
705,213
839,442
1114,152
228,59
324,521
926,855
12,929
903,871
317,747
735,506
1128,437
545,116
411,301
450,229
565,704
303,704
547,1101
5,781
944,737
314,304
250,814
448,304
401,229
575,116
838,755
332,129
617,756
61,1063
190,948
1126,404
432,481
504,586
729,704
1002,45
709,466
12,1063
1102,397
734,1
446,766
611,15
144,1074
609,127
550,944
719,487
113,714
1050,1001
888,939
921,887
277,785
1085,995
431,205
501,944
769,466
586,493
976,944
420,726
198,613
814,882
318,715
1073,59
918,939
854,954
771,431
110,914
932,1022
715,1024
572,487
737,783
948,1003
1130,714
1103,59
293,513
1053,238
292,783
1054,611
206,221
949,265
381,747
926,547
127,1096
655,498
125,269
933,671
1046,319
946,152
164,116
428,162
484,966
374,1094
501,152
913,325
954,622
1058,450
205,211
897,1027
850,915
944,550
538,1094
99,229
521,632
409,162
498,877
951,859
218,715
880,1100
1131,682
36,186
354,761
139,772
1130,164
586,1003
331,713
45,127
704,995
1068,454
734,1103
701,926
704,177
891,3
942,988
680,988
437,1001
848,572
774,357
773,169
865,926
419,1068
431,139
854,996
578,832
330,767
1040,634
641,888
1048,229
766,1068
1065,169
15,611
827,526
474,896
720,134
935,59
518,939
755,357
1078,1047
634,67
1050,948
654,948
84,832
60,209
1058,1068
417,483
525,16
352,1027
429,493
919,357
570,203
616,319
843,483
130,547
727,537
797,1010
484,550
465,271
186,856
984,836
1003,849
798,188
967,374
848,948
397,1012
185,109
561,625
827,1010
1135,1126
1014,836
177,635
653,564
1076,667
656,81
465,513
291,104
246,856
615,164
214,1052
811,1042
979,855
1010,205
1111,782
1073,261
598,934
1014,849
384,682
948,495
956,844
634,564
1126,272
768,564
47,767
1024,224
951,914
242,454
261,467
1078,726
407,521
1014,970
260,767
698,441
1001,213
1137,1040
1135,213
377,763
344,357
603,59
525,634
1117,280
406,188
1,368
207,473
931,275
769,213
397,341
880,229
379,701
322,167
718,167
792,116
144,1063
794,162
653,940
422,519
711,127
1010,689
955,753
1046,642
127,601
1014,1104
737,301
67,1001
1034,753
404,357
1025,704
469,715
185,956
854,822
644,1012
399,427
793,583
164,1018
398,956
483,771
557,720
15,437
650,948
928,892
1015,1046
554,422
135,438
773,466
905,127
643,127
895,836
306,441
1008,713
1063,420
130,481
985,766
176,368
943,769
418,130
967,1126
208,1074
855,656
882,493
1102,533
959,713
1014,420
439,189
1052,123
976,1067
724,28
785,718
730,782
31,515
927,1067
1040,944
937,28
1067,552
731,1128
712,849
596,903
59,964
384,495
563,726
948,79
428,272
359,438
718,785
322,785
704,850
998,1068
681,903
839,28
137,510
935,490
1014,783
554,1027
1110,1016
628,747
222,59
719,1094
619,927
428,164
1095,856
729,506
784,213
661,1045
883,1094
578,229
1045,109
972,1028
1096,1094
827,152
773,1084
804,397
391,753
773,855
624,466
211,822
637,930
84,229
59,401
769,39
1050,695
368,109
597,1100
209,466
701,928
835,928
678,944
929,526
122,726
116,948
749,595
969,864
644,1067
495,944
531,638
999,477
200,767
817,177
395,713
436,485
1088,411
724,888
488,123
130,415
954,1121
761,955
332,549
277,613
756,59
596,595
847,177
391,1129
721,775
554,369
727,526
1133,948
374,896
1045,606
1017,773
299,493
395,726
417,485
1011,177
892,714
874,1074
899,609
329,493
860,129
484,552
129,324
872,368
1106,306
1014,717
959,781
614,783
719,799
755,493
435,1040
998,894
235,1100
475,560
163,968
1123,1010
248,517
60,466
1056,956
473,635
987,1085
725,856
1014,730
943,261
3,1100
139,466
873,956
685,676
790,1106
898,905
889,1085
1068,1087
925,513
498,934
895,341
1106,790
930,564
403,1047
67,869
1014,154
431,1001
546,988
1069,1029
71,466
403,939
1127,970
836,3
899,59
375,59
862,177
1063,167
448,537
856,1042
597,1047
287,67
297,526
756,811
1083,940
310,953
152,781
537,1117
1015,927
798,929
1118,116
722,116
834,357
259,126
228,547
1131,55
310,1074
656,701
331,904
523,1074
817,1063
550,948
1063,301
737,774
1098,753
575,483
984,422
827,704
832,782
474,1074
634,1063
1016,1128
1014,301
1029,1067
847,1063
976,948
1067,312
1023,242
1093,944
1014,422
656,714
675,956
793,948
553,441
1012,726
888,956
55,164
968,656
862,903
461,559
1131,310
732,564
272,1074
827,1067
835,433
105,1082
950,908
721,1085
242,1087
406,929
1120,272
104,564
235,1047
574,513
1009,441
1050,213
1131,552
1021,680
984,1027
707,224
545,162
913,329
283,162
233,570
352,521
1039,670
