source_id,target_id
588,1024
516,1045
260,1029
967,948
276,730
379,892
448,704
61,849
79,164
243,431
682,116
597,513
164,894
128,537
861,287
530,45
548,292
793,145
432,701
1111,1127
127,433
1046,642
713,224
349,671
969,864
946,280
364,145
212,930
1025,726
699,242
570,1126
378,1094
1068,655
418,81
1108,475
137,595
941,887
224,123
693,513
485,1045
1068,454
248,517
823,1127
673,1100
526,515
87,827
729,1047
163,1111
399,129
939,1047
836,1053
377,763
656,1094
436,466
205,948
297,272
635,1111
504,1042
1130,483
526,1117
79,704
707,1022
419,513
1009,251
881,1020
578,1126
848,430
122,849
709,1053
862,108
327,471
1069,517
318,613
874,164
790,1056
617,756
377,537
1002,1074
1039,1100
728,495
381,747
970,1127
649,242
619,1047
1063,167
769,466
336,1121
790,588
508,856
550,437
898,944
228,1094
707,127
144,933
598,583
151,914
1133,526
189,129
1082,956
195,498
894,1067
555,61
128,1101
220,988
669,1040
113,437
504,586
161,59
420,726
619,927
506,116
715,856
1140,798
526,1001
1091,28
3,944
1021,1117
481,399
70,944
581,1003
60,261
579,1018
87,152
521,162
995,1029
541,968
325,595
508,613
862,781
860,123
898,845
1050,989
144,714
998,164
359,726
949,448
474,483
203,749
655,242
978,466
728,287
963,798
170,229
1101,513
946,261
873,104
1033,832
733,613
762,948
628,1003
378,753
436,924
735,1012
475,329
967,701
359,438
246,713
74,116
998,55
966,714
625,162
644,129
553,939
1014,678
792,717
1100,368
271,718
696,319
63,601
848,116
55,272
899,417
723,260
890,1100
891,632
329,493
43,498
62,346
672,632
711,704
360,726
1029,427
128,928
894,948
731,968
759,1082
404,948
1084,167
979,701
1111,513
934,292
555,301
578,940
769,1126
869,1100
317,190
1140,784
1095,1016
718,322
317,355
96,513
974,771
714,892
1014,152
222,1087
148,84
162,442
372,548
1050,526
979,753
974,242
241,293
880,513
1017,368
478,1
768,775
1101,1094
12,301
215,368
785,756
475,186
1078,506
513,8
700,1093
185,481
345,435
242,1100
340,322
1081,549
988,676
920,59
835,74
1044,498
704,850
240,714
1047,648
214,162
557,1128
238,167
1128,417
1050,948
1096,127
675,988
145,695
125,269
681,726
635,177
547,763
883,485
882,1117
942,736
1024,513
79,944
717,3
388,1121
860,177
649,59
74,1074
635,838
123,624
104,775
998,1132
920,956
55,654
1124,233
888,368
120,944
516,549
715,606
1014,632
297,162
934,644
678,164
475,537
576,567
39,485
898,654
62,827
181,606
214,417
240,1127
517,927
746,822
1088,254
1055,129
904,726
419,1127
784,929
984,1099
920,939
772,466
818,1085
501,712
190,654
928,763
774,498
732,798
596,349
1083,368
1044,437
260,767
974,717
450,498
998,722
1083,956
1062,648
1001,1050
1016,903
859,123
959,322
345,546
1131,682
913,329
747,944
804,943
428,717
12,280
670,782
731,903
524,781
919,357
84,832
1098,274
479,3
521,632
713,588
1085,920
626,190
914,293
1056,880
238,773
334,498
773,485
914,341
465,485
407,426
845,483
786,871
326,325
812,832
673,956
1021,695
1128,513
1094,130
70,1067
634,1063
359,704
436,901
891,15
185,368
107,1
1006,1050
923,1047
1109,903
944,989
292,120
943,1087
774,712
110,448
767,564
664,1047
852,1085
215,564
707,632
434,355
452,431
667,357
205,1063
1014,783
420,882
948,874
526,784
769,567
426,374
880,956
1113,849
432,481
148,767
352,340
737,1050
579,1074
784,167
1050,431
892,928
997,704
498,269
1022,546
712,357
47,1054
882,766
751,1126
465,635
1078,546
1001,784
331,904
844,564
198,896
863,265
895,369
726,164
487,537
164,615
641,1047
292,783
614,129
1029,1018
773,1010
959,732
546,1046
518,513
414,126
318,475
433,59
419,704
352,914
860,200
220,513
327,47
704,871
285,319
50,162
292,781
920,775
1095,466
428,162
722,1067
1001,437
940,126
814,483
466,490
286,712
769,939
216,437
678,968
635,419
669,727
899,882
127,189
998,615
502,59
554,1099
161,767
426,955
1075,933
527,836
266,1081
411,301
798,221
399,823
892,130
616,613
502,513
344,953
78,704
384,3
293,329
1140,152
1111,167
863,914
309,471
81,656
648,229
228,656
442,123
242,552
299,485
428,781
895,265
1073,513
45,127
957,148
773,466
1014,441
1085,767
352,1027
375,481
656,855
530,1047
116,762
1022,695
71,701
957,939
1119,431
1017,229
838,455
426,1027
417,485
285,162
344,968
951,905
102,601
74,240
555,944
1012,397
149,730
958,67
431,783
601,127
1137,727
963,188
972,1028
483,678
850,546
979,855
913,47
912,588
469,466
1051,1085
815,926
663,595
1102,271
211,1121
524,721
1004,781
882,139
636,167
597,1100
1027,848
873,229
213,1117
1063,580
695,1050
1061,274
1029,781
735,28
185,766
673,59
1081,59
927,632
454,498
61,1042
1003,944
87,714
925,431
953,301
880,229
852,513
189,726
583,1063
920,1100
616,927
386,1047
919,784
689,162
269,242
875,537
403,939
1002,213
483,953
130,926
1095,233
539,564
737,783
827,357
576,508
1126,272
773,162
1055,1067
1140,213
754,930
277,467
254,15
825,417
185,856
546,427
388,714
815,756
996,781
151,28
432,1101
365,564
246,856
1050,1063
929,280
991,859
1085,321
1014,956
403,782
25,81
50,944
1067,1018
454,229
803,357
962,205
461,699
611,15
597,940
840,595
997,420
484,966
302,431
722,116
391,855
855,892
352,422
648,59
586,930
488,123
766,349
691,864
492,1085
723,48
190,1074
243,233
997,485
586,774
116,108
419,736
244,466
492,939
135,1100
827,1067
969,960
1034,763
502,485
3,242
79,1128
619,28
530,420
547,928
968,701
242,635
626,203
998,747
129,324
754,417
1114,1100
895,334
573,221
1126,944
926,240
832,398
246,127
626,55
1014,238
989,1126
678,944
955,1021
504,123
176,229
60,485
1065,849
1100,67
586,919
715,1024
235,939
803,783
883,498
490,1047
110,422
756,59
1135,583
888,782
1108,730
105,1127
817,369
397,680
1009,224
608,1127
1067,827
1069,782
108,1117
242,882
818,940
731,61
837,1085
1076,565
105,1047
826,426
830,320
477,836
984,334
1008,276
1120,221
955,706
1073,324
259,59
726,988
563,167
724,888
300,1127
678,933
1037,1026
676,498
712,537
1052,162
494,713
1113,712
74,827
1056,956
508,325
797,485
1104,466
785,513
1014,935
211,822
1039,400
1120,280
211,537
277,785
1001,919
644,1029
555,1074
435,877
379,130
384,654
1126,695
844,513
40,517
583,601
314,431
1126,346
994,483
781,1084
193,565
862,552
644,934
271,485
621,485
578,104
435,1094
299,905
573,438
128,1094
1126,404
976,1074
283,781
107,956
403,956
371,701
1045,772
1133,221
888,564
776,720
760,713
588,715
50,1063
1010,775
546,1022
785,441
1085,104
246,126
281,513
564,1046
767,292
16,564
40,506
414,606
861,55
232,832
533,322
735,127
862,1118
774,221
386,148
1015,167
441,109
956,648
12,695
627,485
321,162
863,1061
67,1001
753,537
596,1012
93,889
818,59
785,718
448,811
839,726
736,481
451,655
817,956
979,130
314,1063
669,989
951,732
381,1093
545,948
1104,513
1016,760
696,671
656,537
102,485
946,79
1102,1132
705,929
479,717
1068,622
1014,888
1111,766
433,485
707,1127
1003,498
1014,272
1014,695
1109,431
271,466
668,513
720,956
928,855
891,1128
889,148
552,1121
998,874
261,513
1113,929
108,1018
515,1010
1003,116
887,1100
437,1001
653,940
45,129
766,123
1076,722
259,1094
134,775
625,1085
860,636
1101,656
515,123
914,340
1085,362
626,340
865,892
603,948
384,495
759,104
578,431
675,927
653,564
25,374
149,882
713,487
193,714
1025,720
272,493
163,933
326,471
988,399
322,804
1131,1094
519,680
292,129
932,322
34,330
1082,1085
193,1129
1094,128
427,726
294,109
987,1047
538,1047
663,330
301,762
110,914
712,1063
934,177
862,480
466,718
991,849
139,715
575,1074
436,59
1120,774
912,59
835,1084
664,940
1069,595
1132,329
996,152
1094,601
43,732
415,763
762,1067
953,968
575,944
213,1063
341,322
921,1127
1096,1128
754,1110
422,519
554,836
1076,483
1042,152
207,1121
862,238
939,887
921,887
985,766
318,715
317,495
306,567
931,275
467,292
549,1024
991,712
596,766
973,1047
527,422
176,832
1012,301
603,466
503,1128
275,306
1069,1012
506,726
1131,310
501,1100
792,438
414,431
695,882
620,625
417,483
720,887
664,939
880,1100
546,28
895,521
1042,1085
627,769
126,760
981,431
1061,1108
994,1127
661,224
836,783
235,1047
362,832
232,513
814,882
392,726
1014,397
938,59
621,804
134,293
50,704
251,123
676,823
894,944
455,726
578,441
451,782
793,1117
533,785
1040,302
834,3
707,987
485,1087
406,213
826,999
634,67
465,292
1053,340
941,956
984,572
310,903
1014,617
344,678
945,939
299,601
214,1052
431,242
1024,767
790,254
879,775
530,933
991,601
823,736
533,466
1040,1001
608,485
128,753
1040,634
214,827
586,960
352,369
115,712
720,775
1053,238
850,265
889,939
565,667
1085,987
1076,966
215,1085
374,1094
578,814
643,1094
340,498
993,1067
378,81
1068,856
637,930
427,242
139,567
575,272
934,437
1078,942
152,781
670,681
855,979
303,1098
610,732
942,1046
1003,933
467,437
115,845
430,426
815,130
1014,644
1100,726
1095,355
1014,1063
773,1017
680,737
617,111
964,238
681,242
724,362
554,914
845,1074
804,1020
1014,16
533,437
1113,1117
287,272
850,557
927,850
110,557
303,927
890,162
1003,438
850,242
891,395
190,948
36,186
1050,929
930,162
1004,1053
203,243
1098,303
1045,494
859,849
714,996
712,1126
79,485
552,1068
609,1094
755,814
1070,483
20,59
246,781
736,744
563,726
671,595
1126,67
31,357
928,481
177,483
293,1085
280,989
804,640
321,1100
727,944
527,430
1046,934
1034,1094
518,148
1058,617
428,1074
208,970
575,164
110,426
944,737
949,637
315,988
1131,552
635,726
596,849
502,1022
944,526
344,933
811,526
774,634
941,1100
1073,261
450,1047
749,729
1025,292
860,417
938,704
455,1068
561,1010
542,1127
469,59
1110,152
100,431
1017,988
775,403
473,109
323,996
329,221
1001,1128
77,782
588,441
244,467
5,1042
664,229
812,1085
20,466
1132,1100
538,672
775,920
485,552
229,887
539,498
1131,953
803,3
1025,395
408,956
84,775
994,485
306,471
205,1010
546,823
532,829
232,1100
1101,547
217,1085
597,564
1102,655
428,948
1113,944
1046,427
650,781
374,120
616,152
1015,242
948,213
548,167
506,704
62,570
322,718
654,116
546,272
1094,632
1009,109
1022,726
326,611
889,466
130,481
109,148
526,856
891,3
476,1106
785,548
923,564
28,292
170,939
865,364
978,506
43,438
468,482
169,319
1096,564
130,415
586,1003
185,956
241,1053
871,1068
1126,654
123,606
760,292
495,948
991,836
856,903
3,1100
898,763
292,355
715,485
1094,903
70,164
635,242
904,567
519,357
110,1027
468,321
730,513
695,213
834,61
634,564
360,1068
899,1022
766,644
526,1016
950,144
969,933
205,211
627,466
359,1016
844,956
100,441
1065,996
695,1074
1018,1074
384,1067
293,134
719,411
523,417
50,1067
547,855
319,1042
736,942
506,1074
266,77
1025,606
427,399
1091,837
944,1094
487,772
1003,714
526,1128
266,888
1042,849
60,769
933,822
574,162
1140,695
913,611
70,1074
614,552
860,588
1075,238
616,127
1027,369
400,224
880,368
379,329
397,866
251,15
365,1010
332,129
718,832
397,804
839,485
995,1068
731,1100
768,513
964,513
229,564
1058,319
832,229
551,1100
495,944
384,827
213,919
111,437
426,432
315,454
100,767
360,773
827,704
1094,493
782,940
1087,939
503,59
671,506
1065,493
323,966
939,988
617,720
280,774
116,1018
271,1111
283,493
220,1128
619,127
943,261
918,564
685,714
826,369
55,948
895,340
615,116
207,473
598,988
1020,881
403,775
280,784
712,859
862,654
995,726
967,989
1034,753
1014,438
719,763
1053,430
248,506
1040,1052
493,286
737,301
607,164
479,116
1090,565
567,1024
667,1074
991,493
193,211
211,908
661,772
784,737
212,1021
170,956
1140,272
391,1101
62,1067
691,422
104,564
1044,116
894,483
1085,811
476,572
1135,67
869,346
721,1085
624,59
714,565
980,164
467,1128
1085,386
606,466
956,1010
733,126
250,814
775,126
1014,513
1052,1040
108,1074
152,1003
1024,109
239,849
269,1094
1024,126
774,944
564,116
527,426
736,934
1028,16
12,1063
996,357
126,301
531,1127
1045,904
111,1127
973,229
1100,205
945,59
384,894
768,368
826,448
888,148
1125,431
211,968
714,634
293,104
1073,485
872,775
218,395
1140,919
1067,678
1132,726
848,999
889,832
442,729
228,128
477,572
164,948
564,930
698,431
495,116
420,395
294,99
362,148
856,1042
448,352
1025,704
20,513
890,466
648,1047
3,1068
61,129
260,1012
634,438
294,940
1002,564
432,855
1014,59
359,989
50,1068
818,832
735,506
78,814
574,466
211,355
771,1018
1014,1121
883,1128
193,101
250,59
972,749
1085,857
726,1042
1014,606
411,129
903,1021
966,771
901,924
719,799
269,1128
1023,399
411,329
1126,1052
547,701
218,126
291,104
862,712
1094,892
895,637
213,1001
129,485
606,109
898,1074
1024,713
849,61
488,224
888,940
1069,260
701,926
644,1012
976,301
271,513
578,1
1024,59
359,948
736,272
399,726
1095,564
938,1127
850,914
482,564
732,1063
632,442
1090,287
128,968
232,368
1140,944
761,782
707,455
1103,956
978,1029
1127,148
616,1016
767,161
1103,940
707,59
1047,782
1034,968
1127,109
839,442
756,397
1008,713
737,526
678,1067
932,1022
375,466
849,919
987,1100
543,758
938,485
1014,771
169,1016
477,448
648,368
634,526
849,221
551,123
1076,927
625,940
474,732
485,329
887,1047
139,772
720,104
872,368
1106,730
498,877
817,896
941,104
737,493
963,145
884,368
563,1111
857,939
563,533
993,286
751,1040
606,567
134,1047
417,493
920,162
927,671
937,442
269,720
942,167
872,229
1014,766
259,395
188,1140
603,116
1135,213
552,292
1017,956
345,766
951,601
624,680
811,167
967,849
1003,849
1090,785
927,272
598,162
446,1121
810,77
251,224
31,781
20,905
917,715
1,564
186,1128
987,466
518,229
1054,471
545,162
198,905
242,1127
481,45
361,395
324,1132
130,466
766,498
130,59
755,357
1007,16
650,721
756,1132
723,782
638,1117
502,261
991,169
737,944
941,1127
493,59
830,1
995,1128
406,404
161,513
689,849
59,238
656,753
303,726
1055,546
586,849
728,781
74,1117
144,483
134,721
774,188
827,771
102,169
1127,454
923,832
1044,162
877,498
827,1052
1033,956
921,1082
811,123
768,940
691,16
837,148
769,513
272,989
1081,513
790,1106
552,116
830,721
1014,208
773,855
469,856
1048,564
448,242
1131,814
968,565
880,485
1021,903
655,437
349,942
583,706
786,1084
729,506
701,1129
292,823
976,164
731,667
422,1096
948,79
359,116
1029,642
877,437
1014,634
638,16
992,513
1017,939
621,261
772,588
699,613
734,1017
1003,1121
203,513
978,59
152,725
755,152
222,769
676,988
1121,287
1014,67
642,1046
728,55
1085,1
250,466
135,438
490,1100
537,280
1001,67
309,537
1131,55
705,695
1046,781
1023,884
767,148
185,1126
276,125
474,1094
375,537
839,1047
242,1067
232,1047
794,148
554,430
28,399
613,726
935,229
1028,721
895,836
974,1068
586,493
709,466
