text,label
Florastor (saccharomyces boulardii lyo) interacts with rilonacept,1
Tranexamic acid (tranexamic acid (Cyklokapron)) interacts with nan,0
Focalin (dexmethylphenidate) interacts with tramadol,1
Carvykti (ciltacabtagene autoleucel) interacts with prednisolone,1
Zyrtec (cetirizine) interacts with polyethylene glycol 3350,0
Prevnar 20 (Pneumococcal 20-valent conjugate vaccine) interacts with ixekizumab,1
Zinc sulfate (zinc sulfate) interacts with cabotegravir,1
Upneeq (oxymetazoline ophthalmic) interacts with ampicillin and sulbactam,0
Dextromethorphan (dextromethorphan) interacts with ribociclib,0
Rabeprazole (rabeprazole) interacts with dacomitinib,1
Inderal (propranolol) interacts with salmeterol,1
Xarelto (rivaroxaban) interacts with triptorelin,0
Furosemide (furosemide (oral/injection)) interacts with dopamine (injection),0
Imdelltra (tarlatamab) interacts with magnesium citrate,0
Dupixent (dupilumab) interacts with clonidine (oral),0
Sabril (vigabatrin) interacts with ketamine,1
Guanfacine (guanfacine) interacts with atazanavir,1
Rozanolixizumab (rozanolixizumab-noli) interacts with amantadine,0
Spinraza (nusinersen) interacts with topiramate,0
Upadacitinib (upadacitinib) interacts with ketoconazole,0
AndroGel (testosterone topical) interacts with prazosin,0
Mavorixafor (mavorixafor) interacts with amiodarone,1
Oxazepam (oxazepam) interacts with esketamine,1
Acetylcysteine (acetylcysteine (oral)) interacts with magnesium oxide,0
Spevigo (spesolimab-sbzo) interacts with leflunomide,1
Apixaban (apixaban) interacts with albuterol inhalation,0
Lomotil (atropine and diphenoxylate) interacts with Lanadelumab,0
Narcan (naloxone) interacts with dasiglucagon,0
Risperdal (risperidone (oral)) interacts with sufentanil,1
Febuxostat (febuxostat) interacts with chlorpheniramine,0
Zydelig (idelalisib) interacts with fluticasone nasal,1
Gabapentin (gabapentin) interacts with nalbuphine,1
Plan B (levonorgestrel emergency contraceptive) interacts with omega-3 polyunsaturated fatty acids,0
Levofloxacin (levofloxacin (oral)) interacts with ponatinib,0
Losartan (losartan) interacts with lithium,1
Diltiazem (diltiazem (oral/injection)) interacts with rifampin,1
Coreg (carvedilol) interacts with aripiprazole lauroxil (injection),0
Xanax XR (alprazolam) interacts with ritonavir,1
Wellbutrin (bupropion) interacts with paliperidone,1
Ziprasidone (ziprasidone (oral/injection)) interacts with cefdinir,0
